estimation.x,estimation.y,valification.x,valification.y,diff
128,404,128,404,0
146,425,126,432,21.1896
162,447,122,460,42.0595
176,471,115,488,63.3246
187,496,106,515,83.1986
196,522,96,542,101.98
203,549,81,566,123.179
207,576,66,591,141.796
209,604,47,612,162.197
208,632,29,634,179.011
205,659,14,654,191.065
estimation.x,estimation.y,valification.x,valification.y,diff
128,404,128,404,0
146,425,126,432,21.1896
162,447,122,460,42.0595
176,471,115,488,63.3246
187,496,106,515,83.1986
196,522,96,542,101.98
203,549,81,566,123.179
207,576,66,591,141.796
209,604,47,612,162.197
208,632,29,634,179.011
205,659,14,654,191.065
estimation.x,estimation.y,valification.x,valification.y,diff
128,404,128,404,0
146,425,126,432,21.1896
162,447,122,460,42.0595
176,471,115,488,63.3246
187,496,106,515,83.1986
196,522,96,542,101.98
203,549,81,566,123.179
207,576,66,591,141.796
209,604,47,612,162.197
208,632,29,634,179.011
205,659,14,654,191.065
estimation.x,estimation.y,valification.x,valification.y,diff
128,404,128,404,0
146,425,126,432,21.1896
162,447,122,460,42.0595
176,471,115,488,63.3246
187,496,106,515,83.1986
196,522,96,542,101.98
203,549,81,566,123.179
207,576,66,591,141.796
209,604,47,612,162.197
208,632,29,634,179.011
205,659,14,654,191.065
estimation.x,estimation.y,valification.x,valification.y,diff
128,404,128,404,0
146,425,126,432,21.1896
162,447,122,460,42.0595
176,471,115,488,63.3246
187,496,106,515,83.1986
196,522,96,542,101.98
203,549,81,566,123.179
207,576,66,591,141.796
209,604,47,612,162.197
208,632,29,634,179.011
205,659,14,654,191.065
estimation.x,estimation.y,valification.x,valification.y,diff
128,404,128,404,0
126,432,126,432,0
121,459,122,460,1.41421
113,486,115,488,2.82843
103,512,106,515,4.24264
96,539,96,542,3
87,565,81,566,6.08276
76,590,66,591,10.0499
63,614,47,612,16.1245
48,637,29,634,19.2354
31,659,14,654,17.72
