estimation.x,estimation.y,valification.x,valification.y,diff
122,402,122,402,0
120,425,120,426,1
115,448,117,450,2.82843
107,470,112,474,6.40312
96,491,105,497,10.8167
89,513,96,519,9.21954
80,535,87,541,9.21954
70,556,72,561,5.38516
59,577,58,581,4.12311
47,597,42,599,5.38516
34,617,30,616,4.12311
estimation.x,estimation.y,valification.x,valification.y,diff
122,402,122,402,0
120,425,120,426,1
115,448,117,450,2.82843
107,470,112,474,6.40312
96,491,105,497,10.8167
89,513,96,519,9.21954
80,535,87,541,9.21954
70,556,72,561,5.38516
59,577,58,581,4.12311
47,597,42,599,5.38516
34,617,30,616,4.12311
