estimation.x,estimation.y,valification.x,valification.y,diff
122,401,122,401,0
121,424,121,425,1
118,447,119,449,2.23607
114,470,114,472,2
109,493,107,495,2.82843
102,515,104,519,4.47214
97,538,90,538,7
89,560,76,557,13.3417
79,581,62,576,17.72
66,601,48,596,18.6815
51,619,36,616,15.2971
estimation.x,estimation.y,valification.x,valification.y,diff
122,401,122,401,0
121,424,121,425,1
118,447,119,449,2.23607
114,470,114,472,2
109,493,107,495,2.82843
102,515,104,519,4.47214
97,538,90,538,7
89,560,76,557,13.3417
79,581,62,576,17.72
66,601,48,596,18.6815
51,619,36,616,15.2971
