estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
120,374,126,376,6.32456
116,397,124,400,8.544
111,420,120,424,9.84886
105,443,116,448,12.083
98,466,109,472,12.53
92,489,101,495,10.8167
82,510,100,519,20.1246
68,529,85,537,18.7883
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
120,374,126,376,6.32456
116,397,124,400,8.544
111,420,120,424,9.84886
105,443,116,448,12.083
98,466,109,472,12.53
92,489,101,495,10.8167
82,510,100,519,20.1246
68,529,85,537,18.7883
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
120,374,126,376,6.32456
116,397,124,400,8.544
111,420,120,424,9.84886
105,443,116,448,12.083
98,466,109,472,12.53
92,489,101,495,10.8167
82,510,100,519,20.1246
68,529,85,537,18.7883
