estimation.x,estimation.y,valification.x,valification.y,diff
129,218,129,218,0
128,222,124,219,5
127,226,119,219,10.6301
126,230,114,219,16.2788
125,234,118,223,13.0384
124,238,121,227,11.4018
123,242,125,230,12.1655
122,246,126,235,11.7047
121,250,125,240,10.7703
120,254,126,245,10.8167
119,258,125,250,10
118,262,124,255,9.21954
117,266,123,260,8.48528
115,270,122,265,8.60233
113,274,120,270,8.06226
111,278,120,275,9.48683
109,282,118,280,9.21954
107,286,116,285,9.05539
105,290,115,290,10
103,294,113,295,10.0499
101,298,111,300,10.198
99,302,109,305,10.4403
97,306,107,310,10.7703
95,310,104,315,10.2956
93,314,102,320,10.8167
91,318,100,325,11.4018
88,322,97,330,12.0416
85,326,95,335,13.4536
82,330,92,339,13.4536
79,334,89,344,14.1421
76,338,86,349,14.8661
73,342,83,354,15.6205
70,346,80,358,15.6205
67,350,77,362,15.6205
64,354,74,367,16.4012
61,358,71,371,16.4012
58,362,68,375,16.4012
55,366,64,379,15.8114
52,369,61,383,16.6433
48,372,58,387,18.0278
44,375,54,391,18.868
40,378,50,395,19.7231
36,381,47,400,21.9545
32,384,43,404,22.8254
28,387,40,408,24.1868
24,390,37,412,25.5539
20,393,34,416,26.9258
16,396,31,420,28.3019
12,399,27,424,29.1548
8,402,25,428,31.0644
