estimation.x,estimation.y,valification.x,valification.y,diff
123,397,123,397,0
121,420,122,421,1.41421
117,443,120,445,3.60555
111,466,117,469,6.7082
103,488,111,493,9.43398
97,511,104,516,8.60233
89,533,94,539,7.81025
80,555,83,561,6.7082
69,576,73,583,8.06226
56,596,58,602,6.32456
41,615,48,620,8.60233
estimation.x,estimation.y,valification.x,valification.y,diff
121,420,123,397,23.0868
117,443,122,421,22.561
111,466,120,445,22.8473
103,488,117,469,23.6008
87,500,111,493,25
68,515,104,516,36.0139
66,538,94,539,28.0179
74,560,83,561,9.05539
76,583,73,583,3
94,598,58,602,36.2215
6215767,0,48,620,6.21572e+06
estimation.x,estimation.y,valification.x,valification.y,diff
121,420,123,397,23.0868
117,443,122,421,22.561
111,466,120,445,22.8473
103,488,117,469,23.6008
87,500,111,493,25
68,515,104,516,36.0139
66,538,94,539,28.0179
74,560,83,561,9.05539
76,583,73,583,3
94,598,58,602,36.2215
6215767,0,48,620,6.21572e+06
estimation.x,estimation.y,valification.x,valification.y,diff
121,420,123,397,23.0868
117,443,122,421,22.561
111,466,120,445,22.8473
103,488,117,469,23.6008
87,500,111,493,25
68,515,104,516,36.0139
66,538,94,539,28.0179
74,560,83,561,9.05539
76,583,73,583,3
94,598,58,602,36.2215
6215767,0,48,620,6.21572e+06
estimation.x,estimation.y,valification.x,valification.y,diff
121,420,123,397,23.0868
117,443,122,421,22.561
111,466,120,445,22.8473
103,488,117,469,23.6008
87,500,111,493,25
68,515,104,516,36.0139
66,538,94,539,28.0179
74,560,83,561,9.05539
76,583,73,583,3
94,598,58,602,36.2215
6215767,0,48,620,6.21572e+06
estimation.x,estimation.y,valification.x,valification.y,diff
123,397,123,397,0
121,420,122,421,1.41421
117,443,120,445,3.60555
111,466,117,469,6.7082
103,488,111,493,9.43398
97,511,104,516,8.60233
89,533,94,539,7.81025
80,555,83,561,6.7082
69,576,73,583,8.06226
56,596,58,602,6.32456
41,615,48,620,8.60233
