estimation.x,estimation.y,valification.x,valification.y
186,285,186,285
188,316,190,315
188,347,214,334
187,378,220,364
185,409,219,395
182,439,216,425
177,469,212,455
171,499,209,486
164,529,227,461
159,559,217,432
848807104,21956,221,402
848807296,21956,223,371
848807296,21956,223,340
68,21956,222,309
848807680,21956,241,285
848807680,21956,252,314
848807680,21956,249,344
81,0,264,371
0,0,247,396
0,0,250,426
0,0,239,455
-1610513712,32692,232,485
1,0,236,515
-1610513904,32692,207,524
852399632,21956,177,521
0,0,177,490
-1589057744,32692,168,519
49,0,161,549
