estimation.x,estimation.y,valification.x,valification.y
180,289,180,289
179,316,185,316
178,343,196,341
177,370,194,368
175,397,192,395
173,424,190,422
170,451,203,446
167,478,198,473
164,505,189,499
156,531,169,517
138,552,148,534
estimation.x,estimation.y,valification.x,valification.y
180,289,180,289
179,316,185,316
178,343,196,341
177,370,194,368
175,397,192,395
173,424,190,422
170,451,203,446
167,478,198,473
164,505,189,499
156,531,169,517
138,552,148,534
estimation.x,estimation.y,valification.x,valification.y
180,289,180,289
179,319,185,319
178,349,195,347
176,379,194,377
174,409,190,407
171,439,186,437
168,469,202,462
164,499,193,491
156,528,179,518
136,551,151,530
