estimation.x,estimation.y,valification.x,valification.y
193,261,193,261
204,289,192,291
212,318,196,321
216,348,197,291
217,378,204,321
215,408,205,351
210,438,227,372
202,467,225,402
191,495,229,372
176,522,228,342
1237851648,21857,226,312
0,0,253,325
1237851649,21857,254,355
1232508152,21857,253,385
0,0,258,415
1237844992,21857,247,443
1237845120,21857,255,472
33,0,235,495
1232087712,21857,205,498
1232509440,21857,195,469
estimation.x,estimation.y,valification.x,valification.y
193,261,193,261
204,289,192,291
212,318,196,321
216,348,197,291
217,378,204,321
215,408,205,351
210,438,227,372
202,467,225,402
191,495,229,372
176,522,228,342
0,0,226,312
0,0,253,325
2063205633,32715,254,355
1270694712,22050,253,385
0,0,258,415
0,0,247,443
176,0,255,472
129,0,235,495
1268305280,22050,205,498
1270689024,22050,195,469
