estimation.x,estimation.y,valification.x,valification.y
189,340,189,340
188,371,235,338
187,402,253,363
185,433,248,393
183,463,253,423
180,493,243,452
177,523,244,483
171,553,233,512
156,580,225,542
134,602,207,517
428406976,21929,198,546
428407168,21929,184,573
428407168,21929,156,586
estimation.x,estimation.y,valification.x,valification.y
196,339,196,339
203,369,251,339
207,399,262,368
209,430,258,398
208,461,262,428
204,492,257,458
198,522,261,489
189,552,249,518
178,581,254,548
174,612,225,539
169214144,21869,243,513
169214336,21869,231,485
169214336,21869,233,454
68,21869,233,423
169214720,21869,232,454
169214720,21869,228,484
169214720,21869,223,514
81,0,220,545
0,0,210,574
0,0,198,546
0,0,203,516
436957904,32763,196,486
1,0,191,516
436957712,32763,184,546
169261824,21869,182,577
0,0,180,608
