estimation.x,estimation.y,valification.x,valification.y
185,346,185,346
184,376,244,341
182,406,252,369
179,435,241,396
175,464,248,425
170,493,235,451
164,522,229,480
157,551,221,508
143,577,212,536
122,599,212,566
-949331776,21958,184,574
-949331584,21958,182,545
-949331584,21958,193,518
68,21958,202,490
-949331200,21958,209,461
-949331200,21958,213,432
-949331200,21958,215,403
81,0,196,425
0,0,209,451
0,0,203,480
0,0,195,508
1106146000,32669,185,536
1,0,171,562
1106145808,32669,142,556
-950204544,21958,131,584
