estimation.x,estimation.y,valification.x,valification.y
186,342,186,342
185,372,237,340
184,402,251,366
182,432,244,395
180,462,253,424
177,492,239,450
174,522,244,480
170,552,233,508
166,582,228,537
151,609,230,567
1797437632,22058,220,539
1797437824,22058,210,511
1797437824,22058,214,481
68,22058,218,451
1797438208,22058,219,421
1797438208,22058,214,450
1797438208,22058,211,480
81,0,209,510
0,0,200,538
0,0,192,567
0,0,175,543
-1166036272,32544,182,514
1,0,167,540
-1166036464,32544,168,570
1797855008,22058,156,597
